Order,Word,Defination,Example
1,bankrupt,iflas etti,
3,startled,şaşırmış,
2,adjacent,bitişik,
4,grieve,üzülmek,
5,ranch,çiftlik,
6,corruption,yolsuzluk,
7,from that instant,o andan itibaren,
8,gait,yürüyüş,
9,missile,füze,
10,dodgy,tehlikeli,
11,refrain,alıkoy,
12,sheer,saf,
13,apparently,görünen o ki,
14,indifference,kayıtsızlık,
15,hurl,savurmak,
16,reside,ikamet,
17,competency,Yeterlilik,
18,laden,yüklü,
19,clumsy,sakar,
20,daring,cesur,
21,petty,küçük,
22,tunable,ayarlanabilir,
23,rather,yerine,
24,came out,ortaya çıktı,
25,weaver,dokumacı,
26,massacre,katliam,
27,commemorate,anmak,
28,unfurl,açmak,
29,thorn,diken,
30,dissident,muhalif,
31,pro democracy,demokrasi yanlısı,
32,denounce,kınamak,
33,critic,eleştirmen,
34,longstanting,uzun süreli,
35,sovereign,egemen,
36,coincidence,tesadüf,
37,residue,kalıntı,
38,pesticide,böcek ilacı,
39,as well as,birlikte,
40,citrus,narenciye,
41,tantamount,eşdeğer,
42,bestow,ihsan etmek,
43,parade,geçit töreni,
44,tamper,kurcalamak,
45,deception,aldatma,
46,toil,zahmet,
47,to accord,anlaşmak,
48,assent,rıza,
49,plea,savunma,
50,fend,savuşturmak,
51,dire,korkunç,
52,genocide,soykırım,
53,scorn,aşağılamak,
54,wity,esprili,
55,swamp,bataklık,
56,skirmish,çatışma,
57,frontier,sınır,
58,inhabit,yaşamak,
59,predominantly,ağırlıklı olarak,
60,hostility,düşmanlık,
61,hatred,nefret,
62,sewage,kanalizasyon,
63,precarious,tehlikeli,
64,admonition,öğüt,
65,entreat,yalvarmak,
66,radically,radikal olarak,
67,loophole,boşluk,
68,inquiry,soruşturma,
69,skeptic,şüpheci,
70,monetary,parasal,
71,infraction,ihlal,
72,fudge,geçiştirmek,
73,opt,tercih,
74,tote,taşımak,
75,dread,korku,
76,deceive,aldatmak,
77,sprain,burkulma,
78,virtue,Erdem,
79,impairment,bozulma,
80,manner of,tarzı,
81,varsity,üniversite,
82,pavement,kaldırım,
83,naval,deniz,
84,affair,mesele,
85,banish,sürgün etmek,
86,stagger,sendelemek,
87,fertile,bereketli,
88,excellence,mükemmellik,
89,proprietary,tescilli,
90,audit,denetim,
91,incur,maruz kalmak,
92,composure,soğukkanlılık,
93,trademark,marka,
94,persecute,zulmetmek,
95,intercourse,ilişki,
96,overwhelming,karşı konulmaz bunaltıcı,
97,supreme,yüce,
98,intervention,araya girmek,
99,counterfeit,sahte,
100,nominee,aday,
101,exaggeration,abartı,
102,scorch,kavurma,
103,pay attention,dikkat etmek,
104,straw,Saman,
105,algae,yosun,
106,disconsolate,teselli etmek,
107,compliment,iltifat,
108,dismentling,parçalamak,
109,hazard,tehlike,
110,omission,ihmal,
111,clutter,dağınıklık,
112,impediment,engel,
113,pretext,bahane,
114,condemn,kınamak,
115,pest,haşere,
116,swoop,baskın,
117,landlord,kiraya veren,
118,detrimental,zararlı,
119,still out,hala dışarıda,
120,deviant,sapkın,
121,stems,kaynaklanıyor,
122,like-minded,aynı fikirde,
123,thrill,heyecan,
124,deprived,yoksun,
125,inept,beceriksiz,
126,burglar,hırsız,
127,cope,başa çıkmak,
128,lend,ödünç vermek,
130,cease,durdurmak,
131,deserted,ıssız,
132,aversion,isteksizlik,
133,bustle,telaş,
134,swoop,baskın,
135,landlord,kiraya veren,
136,detrimental,zararlı,
137,drench,ıslatmak,
138,scholarship,burs,
139,ambiguity,belirsizlik,
140,merchandise,eşya,
141,raffle,çekiliş,
142,snoop,meraklı,
143,hothead,öfkeli,
144,mild,ılıman,
145,ill will,kötü niyet,
146,indulgence,hoşgörü,
147,vigor,canlılık,
148,guise,kılık,
149,fidelity,sadakat,
150,pledge,rehin,
151,enmity,düşmanlık,
152,mity,merhamet,
153,wilderness,el değmemiş doğa,
154,solitude,yalnızlık,
155,vagrant,serseri,
156,propound,önermek,
157,vice,mengene,
158,binoculars,dürbün,
159,by all means,elbette,
160,whine,sızlanmak,
161,nappy,bebek bezi,
162,contempt,hor görmek,
163,scolding,azarlamak,
164,vortex,girdap,
165,per diem,günlük,
166,crossbreed,melez,
167,courtesy,nezaket,
168,lugging,çekme,
169,munch,yemek,
170,vanity,gösteriş,
171,hinges on,üzerine menteşeler,
172,tears into,gözyaşları,
173,raid,yağma,
174,conventional,geleneksel,
175,word of mouth,ağızdan ağza,
176,by all means,elbette,
177,wrackage,enkaz,
178,virtuosity,ustalık,
179,rub,ovmak,
180,bending,bükme,
181,restless,huzursuz,
182,coddle,morina,
183,mattress,yatak,
184,lust,şehvet,
185,greed,açgözlülük,
186,coyote,çakal,
187,cuddle,sarılmak,
188,dam,baraj,
189,pursuit,kovalama,
190,put forward,ileri sürmek,
191,scatter,saçılma,
192,overhaul,elden geçirmek,
193,remorse,vicdan azabı,
194,seldom,nadiren,
195,grimace,yüz buruşturma,
196,compensate,tazmin etmek,
197,propagate,yaymak,
198,hideous,iğrenç,
199,bloat,kabartmak,
200,infancy,bebeklik,
201,reduction,kesinti,